"Edat";"Sexe";"H";"Pes";"D2";"D4";"MO";"PC";"Envas";"Vidre";"Aspecte"
34;"M";188;90;73;74;2;1;1;2;"E"
40;"M";175;82;73;75;2;2;2;2;"T"
18;"M";183;85;76;77;2;2;2;2;"E"
41;"F";164;58;62;61;2;2;2;2;"E"
19;"F";156;55;69;70;2;2;2;2;"T"
27;"F";160;63;67;71;1;1;1;1;"E"
31;"F";173;78;63;66;2;2;2;2;"E"
18;"F";163;53;59;59;1;1;1;1;"T"
23;"M";174;65;75;73;2;2;2;2;"E"
24;"F";172;65;74;73;2;2;2;2;"T"
38;"F";171;67;76;74;1;1;2;1;"T"
49;"M";174;73;71;71;2;2;2;2;"E"
20;"M";186;89;81;81;2;1;1;1;"M"
40;"M";179;83;69;70;1;1;1;1;"T"
21;"M";176;61;81;86;1;2;2;2;"E"
39;"F";167;57;75;74;2;2;2;2;"E"
21;"M";164;76;72;73;1;2;2;2;"M"
26;"F";172;59;74;71;2;1;1;2;"E"
23;"M";187;85;80;80;2;1;2;2;"F"
53;"F";158;58;68;68;2;2;2;2;"T"
28;"M";176;68;72;74;1;2;2;2;"M"
21;"M";177;80;77;78;1;1;1;1;"E"
19;"F";163;62;73;75;2;2;2;2;"E"
39;"F";168;64;70;74;2;2;2;2;"F"
21;"M";166;77;79;76;2;2;2;1;"M"
33;"F";167;65;72;73;2;2;2;2;"T"
21;"F";156;56;71;72;1;2;2;2;"E"
19;"F";170;52;75;80;2;2;2;2;"E"
48;"F";163;65;73;71;1;2;2;2;"E"
18;"F";173;56;65;65;2;2;2;2;"E"
25;"M";184;90;82;83;2;2;2;2;"T"
83;"F";168;77;69;72;2;2;2;2;"E"
31;"M";172;74;74;70;1;1;1;2;"M"
26;"M";170;74;80;80;2;2;2;2;"E"
53;"F";162;60;77;75;1;1;1;1;"E"
31;"F";164;64;72;70;1;2;1;2;"E"
32;"M";174;92;77;79;2;2;2;2;"F"
18;"F";162;63;70;70;2;2;2;2;"F"
78;"F";151;73;68;69;1;2;2;2;"E"
18;"F";164;50;72;72;1;2;2;2;"F"
18;"F";162;46;77;71;1;2;1;1;"E"
19;"F";167;52;65;70;2;2;2;2;"E"
55;"M";175;88;77;78;1;1;1;2;"M"
25;"F";180;78;73;75;2;2;2;2;"T"
83;"M";191;92;86;84;1;2;2;2;"T"
22;"F";171;64;83;85;2;2;2;2;"T"
53;"M";175;78;70;70;2;2;2;2;"E"
20;"F";159;45;68;69;2;2;2;2;"M"
37;"M";169;67;70;75;1;1;1;1;"T"
29;"M";192;86;73;75;2;2;2;2;"E"
26;"M";183;85;75;77;1;1;1;1;"T"
19;"F";160;56;71;73;1;2;2;2;"F"
19;"F";162;60;67;75;2;2;2;2;"M"
50;"M";175;64;78;77;2;2;2;2;"E"
19;"F";172;65;77;75;2;2;2;2;"F"
23;"M";177;81;74;72;2;1;1;2;"F"
19;"M";185;75;84;82;1;1;1;1;"E"
20;"M";178;74;65;65;1;1;1;1;"E"
23;"F";167;73;79;83;2;2;2;2;"M"
19;"F";173;60;74;72;2;2;2;2;"T"
23;"M";187;83;60;64;2;2;2;2;"T"
25;"F";168;64;70;71;2;2;2;2;"E"
24;"M";184;89;79;81;1;1;1;1;"E"
26;"M";178;80;72;74;1;1;1;1;"E"
49;"F";165;58;74;78;1;2;1;1;"E"
20;"M";179;60;77;80;1;2;2;1;"E"
28;"M";175;72;75;80;1;2;1;1;"M"
56;"F";164;55;72;70;1;1;1;1;"E"
60;"F";154;76;60;68;2;1;2;2;"E"
70;"F";150;62;65;75;2;2;2;2;"E"
18;"M";171;76;76;73;2;2;1;1;"E"
30;"M";181;73;87;95;2;2;2;2;"E"
88;"F";155;88;63;65;1;1;1;1;"M"
20;"M";175;56;82;85;2;2;2;1;"E"
49;"F";158;51;67;66;2;2;2;2;"E"
28;"M";177;79;76;77;1;1;1;2;"T"
67;"M";169;71;69;71;2;2;2;2;"F"
34;"F";161;54;65;65;2;2;1;2;"M"
26;"M";174;70;75;75;1;2;2;2;"F"
52;"M";182;96;100;104;2;2;2;2;"F"
60;"F";175;72;78;77;1;1;1;1;"M"
34;"M";180;82;72;70;2;2;2;2;"T"
20;"F";167;60;71;73;1;2;2;2;"E"
40;"M";176;84;70;70;1;2;2;2;"E"
28;"F";166;57;66;68;2;2;2;2;"E"
27;"F";174;63;70;72;2;2;2;1;"E"
21;"M";176;67;80;80;2;2;2;2;"F"
38;"M";186;95;77;76;2;2;2;2;"E"
52;"M";176;67;77;76;2;2;2;2;"E"
20;"F";168;55;68;67;2;2;2;2;"T"
44;"M";169;105;80;75;2;2;2;2;"T"
23;"M";175;73;78;80;1;2;2;2;"E"
38;"M";167;95;77;72;1;2;2;2;"E"
42;"M";185;90;94;88;1;2;2;2;"E"
25;"F";163;56;70;74;2;2;2;2;"T"
34;"M";178;89;72;68;2;2;1;2;"F"
24;"M";190;80;77;85;2;2;2;2;"T"
27;"M";180;72;80;70;1;2;2;2;"E"
27;"F";161;54;62;61;1;1;1;1;"E"
40;"M";191;100;83;80;1;2;2;2;"T"
18;"F";170;53;75;75;2;2;2;2;"M"
20;"M";178;79;75;75;1;1;1;1;"E"
19;"F";152;52;64;69;1;1;1;1;"E"
34;"M";171;115;72;70;1;2;2;2;"E"
19;"F";170;63;78;74;2;2;2;2;"E"
30;"F";176;70;73;75;2;2;2;2;"E"
18;"F";163;47;64;63;1;1;2;1;"T"
35;"F";165;58;68;71;2;2;2;2;"E"
18;"F";166;58;66;66;1;1;1;1;"E"
69;"M";169;72;75;79;2;2;2;2;"F"
62;"M";180;85;80;80;1;1;2;2;"T"
